Ticker,
TRXUSDT,
ETHUSDT,
XRPUSDT,
QTUMUSDT,
UNIUSDT,
SOLUSDT,
VETUSDT,
XLMUSDT,
LUNAUSDT,
DOTUSDT,
AVAXUSDT,
MATICUSDT,
LINKUSDT,
LTCUSDT,
DAIUSDT,
NEARUSDT,
MANAUSDT,
ATOMUSDT,
SANDUSDT,
FTMUSDT,
HBARUSDT,
FILUSDT,
THETAUSDT,
ICPUSDT,
XTZUSDT,
HNTUSDT,
XMRUSDT,
AAVEUSDT,
GALAUSDT,
GRTUSDT
